Uniq_ID,Upload_Id,Status,Company,Technology,Concept,Question,Difficulty Level,Suggested Answer,Module
7ef0b449-4,7ef0b449,Completed,Mphasis,Ansible,Configuration Management & Orchestration,What automation tasks have you done in Ansible?,Medium,"I�ve used Ansible for end-to-end infrastructure automation, specifically managing immutable base images with Packer and configuring heterogeneous clusters. My focus is on idempotent roles, utilizing 'ansible-vault' for secrets, and implementing 'mitogen' for performance optimization. I frequently design custom modules for interacting with proprietary APIs and use 'block/rescue' for robust error handling. In CI/CD pipelines, I prioritize 'check_mode' validation and utilize 'ansible-lint' to enforce code quality. Recently, I migrated monolithic playbooks into modular collections to improve maintainability and promote code reuse across cross-functional teams.",Ansible
d56e7fcc-2,d56e7fcc,Completed,Mphasis,Ansible,Inventory Management,What includes in static inventory file,Easy,"A static inventory file is a plain text file, typically in INI or YAML format, that lists the hosts or groups of hosts managed by Ansible. It includes IP addresses or hostnames, categorized into groups using headers (e.g., [webservers]). It may also contain host variables, such as connection details (ansible_user, ansible_ssh_private_key_file) or group variables to define specific configurations, port numbers, or environment-specific settings. This file acts as the source of truth for the infrastructure that Ansible will target for task execution.",Ansible
d56e7fcc-1,d56e7fcc,Completed,Mphasis,Ansible,Inventory Management,What is role of inventory file in Ansible and what are the types,Easy,"The inventory file defines the hosts and groups of hosts upon which Ansible commands and playbooks act. It maps target nodes to their IP addresses or DNS names and allows for organized configuration management through grouping. Types include Static inventory, which uses simple text formats like INI or YAML to list hosts manually, and Dynamic inventory, which utilizes scripts or plugins to query cloud providers or CMDBs in real-time to automatically discover and update the list of managed nodes based on current infrastructure state.",Ansible
d56e7fcc-8,d56e7fcc,Completed,Mphasis,Ansible,Automation methodology,Why do we have ad-hoc commands if playbooks are preferred,Medium,"Ad-hoc commands are designed for quick, repeatable tasks that do not require complex logic or state management, such as checking disk space or rebooting a server across a fleet. They allow for immediate execution without the overhead of file creation. In contrast, playbooks are preferred for configuration management and orchestration because they offer idempotency, reusability, version control, and complex error handling. While ad-hoc commands provide speed for simple, transient tasks, playbooks provide the structured, declarative framework necessary for maintaining consistent, reproducible infrastructure over time.",Ansible
7ef0b449-12,7ef0b449,Completed,Mphasis,Ansible,Configuration Management,Write an Ansible role for the above deployment and also write the playbook.,Medium,"Role structure: 'tasks/main.yml' for logic, 'defaults/main.yml' for variables, and 'templates/' for config files. Use 'ansible-galaxy init <role_name>' to scaffold. Apply 'ansible.builtin.template' for configuration and 'ansible.builtin.service' for state management. 

Playbook structure:
- hosts: webservers
become: yes
roles:
- role_name

Best practices: Use 'ansible-lint' for quality, include 'handlers' for service restarts, avoid hardcoded values in tasks, and leverage 'ansible-vault' for sensitive data. Keep roles idempotent and modular to ensure they can be reused across different environments without modification.",Ansible
ba998d5f-8,ba998d5f,Completed,LSE,Ansible,Automation Strategy,What is the difference between Ansible ad-hoc commands and playbooks?,Easy,"Ad-hoc commands are for quick, single-task execution like checking uptime or installing a package on the fly. They are imperative and ephemeral. Playbooks are YAML-based, declarative scripts designed for orchestration, complex multi-step workflows, and configuration management. In production, use ad-hoc commands solely for rapid troubleshooting or ad-hoc information gathering. Always use playbooks for infrastructure changes to ensure idempotency, version control via Git, and repeatable, audit-ready deployments. Never rely on ad-hoc commands for stateful environment configuration as they lack the traceability and consistency required for enterprise-grade infrastructure-as-code.",Ansible
7ef0b449-2,7ef0b449,Completed,Mphasis,Ansible Tower,IT Automation Management,Explain Ansible Tower.,Medium,"Ansible Tower is the enterprise-grade, RESTful API-driven UI and orchestration layer for Ansible. In production, we use it to manage role-based access control (RBAC), audit logging, and centralized job scheduling. It replaces ad-hoc CLI execution with 'Job Templates,' ensuring immutable infrastructure deployment patterns. Key operational value includes encrypted credential management (via HashiCorp Vault integration), automated workflow pipelines that chain multiple playbooks, and self-service capabilities for developers. For high availability, we deploy it in a clustered architecture, ensuring consistent automation state across global data centers while maintaining strict compliance through automated audit trails.",Ansible
191c2185-12,191c2185,Completed,HiQode,Amazon ECS,Container Orchestration,What is Amazon ECS?,Easy,"Amazon ECS is a managed, highly scalable container orchestration service that integrates natively with the AWS ecosystem, such as IAM, VPC, and ALB. For production, prioritize Fargate for serverless abstraction to reduce operational overhead. If using EC2 launch types, optimize cluster placement and bin-packing via capacity providers. Utilize task definitions for granular resource constraints and ensure integration with CloudWatch Container Insights for observability. Best practices include implementing rolling deployments with ECS service scheduler, leveraging task IAM roles for least-privilege access, and managing secrets via AWS Secrets Manager or Parameter Store to avoid hardcoded credentials.",AWS
83484e3c-8,83484e3c,Completed,Mphasis,Amazon EKS,Add-on Management,What is the difference between Managed Add-ons and Self-managed Add-ons in EKS?,Medium,"Managed add-ons are AWS-operated, ensuring compatibility, automated patching, and security updates via the EKS API. They simplify lifecycle management but offer less granular configuration. Self-managed add-ons (Helm/manifests) provide full control, allowing custom resource configurations and faster adoption of upstream releases, but shift the operational burden of upgrades, security patching, and drift monitoring to your team. Best practice: Use Managed add-ons for standard components like VPC CNI, CoreDNS, and Kube-proxy to reduce toil, and reserve Self-managed add-ons only when specific feature flags or custom versions unavailable in AWS distributions are required.",AWS
a0fa7a07-3,a0fa7a07,Completed,Amedeus Labs,AWS,High Availability,One cluster affected by AWS issue � what happens to environments?,Medium,"If one cluster within an AWS environment experiences an issue, the impact depends on your architecture. If you use multi-AZ or multi-region deployments with load balancers, traffic should automatically reroute to healthy instances in unaffected clusters. If you lack redundancy, the specific applications hosted on that cluster will experience downtime or performance degradation. Systems relying on strict affinity or single-point-of-failure architectures will be disrupted until the underlying AWS issue is resolved or manual intervention restores service via failover or recovery procedures.",AWS
191c2185-3,191c2185,Completed,HiQode,AWS,VPC Routing,"After creating an Internet Gateway (IGW), what else is required?",Easy,"You must update the route table associated with your public subnets to include a route targeting the IGW (0.0.0.0/0 -> igw-xxxx). Simply attaching an IGW to a VPC does not automatically expose resources; traffic remains dropped unless explicitly routed. For production, ensure the IGW is attached to the VPC, and verify that the Network ACLs and Security Groups allow the required inbound/outbound traffic. Best practice is to use specific egress filtering and monitor IGW metrics in CloudWatch to detect bandwidth bottlenecks or potential saturation.",AWS
5ac1f86f-1,5ac1f86f,Completed,Amedeus Labs,AWS,DevOps Pipeline,AWS DevOps tools used in real-time?,Easy,"In a real-time AWS DevOps environment, common tools include AWS CodeCommit (source control), AWS CodeBuild (compilation/testing), AWS CodeDeploy (automated deployment), and AWS CodePipeline (orchestration). Infrastructure is typically managed via AWS CloudFormation or Terraform. Configuration management is handled by AWS Systems Manager or Ansible. For monitoring and logging, AWS CloudWatch and AWS X-Ray are utilized to track application performance and health. Additionally, Amazon EKS or ECS is used for containerized deployments, often integrated with ECR for image management, ensuring a fully automated, scalable CI/CD lifecycle across the cloud infrastructure.",AWS
393aaebb-19,393aaebb,Completed,Cognizant,AWS,Cloud Computing Infrastructure,AWS Services,Medium,"AWS offers a vast suite of cloud services categorized into compute, storage, databases, networking, and analytics. Core services include EC2 for scalable virtual servers, S3 for object storage, and RDS for managed relational databases. Other critical components include Lambda for serverless computing, VPC for isolated network environments, and IAM for secure access management. These services are built on a global infrastructure of regions and availability zones, enabling high availability, fault tolerance, and pay-as-you-go pricing, allowing organizations to offload hardware management while maintaining granular control over their application architecture.",AWS
e7080ca8-3,e7080ca8,Completed,Mphasis,AWS,IAM Roles for Service Accounts (IRSA),Cross-account AWS S3 access from EKS microservice,Hard,"To access an S3 bucket in a different account, you must configure cross-account IAM roles. First, create an IAM role in the resource account with a policy granting S3 permissions and a Trust Policy allowing the EKS OIDC provider from the source account to assume it. In the EKS source account, create an IAM role for the Service Account (IRSA) with a policy that includes the 'sts:AssumeRole' permission targeting the resource account's role. Annotate the Kubernetes ServiceAccount with this IAM role ARN. The pod will then assume the resource role via STS to access the bucket.",AWS
79f66d47-23,79f66d47,Completed,Mphasis,AWS,Storage,Difference between EFS and EBS,Easy,"EBS (Elastic Block Store) is block-level storage designed for use with a single EC2 instance at a time, acting like a hard drive. It offers low latency and high performance but is tied to a specific Availability Zone. EFS (Elastic File System) is a file-level storage service that provides a managed NFS file system. It is designed to be shared concurrently by multiple EC2 instances across multiple Availability Zones, offering high availability and automatic scaling capacity. Use EBS for boot volumes and database workloads; use EFS for shared file storage and content management.",AWS
c64c82a2-19,c64c82a2,Completed,Quest Global,AWS,Networking,Difference between NAT Gateway and IGW,Easy,"An Internet Gateway (IGW) is a VPC component that allows public subnets to communicate directly with the internet, providing bi-directional traffic flow for resources with public IP addresses. A NAT Gateway is a managed service that allows instances in private subnets to initiate outbound connections to the internet for updates or patches, while preventing the internet from initiating a connection to those instances. Essentially, an IGW provides public connectivity for public resources, while a NAT Gateway enables private resources to access the internet securely without exposing them to unsolicited inbound traffic.",AWS
31341bc4-21,31341bc4,Completed,DevOn,AWS,Cloud Architecture,Different AWS services you are good with?,Easy,"I have extensive experience with AWS core services. For compute, I use EC2 and Lambda for serverless execution. For storage, I frequently implement S3 for object storage and EBS for block storage. I manage networking via VPC, subnets, and Route 53. My database experience includes RDS for relational data and DynamoDB for NoSQL scalability. Additionally, I utilize IAM for secure identity management and CloudWatch for monitoring and logging. These services allow me to build, deploy, and maintain scalable, high-availability cloud architectures tailored to specific business requirements.",AWS
191c2185-10,191c2185,Completed,HiQode,AWS,VPC Routing,Do we need to create a route table entry for a Private Subnet?,Easy,"Yes. Every subnet must be associated with a route table. While a 'private' subnet lacks an IGW route, it requires an explicit route table entry if it needs to communicate with external services via a NAT Gateway or egress-only internet gateway. Even for isolated subnets, a route table is mandatory to manage local routing (VPC CIDR) and optionally traffic to other VPCs via Transit Gateway or VPC Peering. Best practice is to use explicit subnet associations rather than relying on the main route table to prevent accidental public exposure of private resources.",AWS
83484e3c-17,83484e3c,Completed,Mphasis,AWS,Troubleshooting,"If users are unable to access https://abc.com hosted in AWS, how do you troubleshoot from a DevOps perspective?",Medium,"I adopt an outside-in approach. First, I verify if it's a DNS issue (Route 53) or a connectivity issue using 'dig' and 'curl -Iv'. If the connection times out, I check Security Groups and NACLs for ingress/egress rules. If the connection is refused, I inspect the ALB target health and backend application logs via CloudWatch. I check the ALB metrics for 5xx/4xx errors to isolate the issue to the app or infrastructure. For TLS issues, I validate the ACM certificate status. Finally, I check VPC Flow Logs to identify dropped packets across the network path.",AWS
31341bc4-4,31341bc4,Completed,DevOn,AWS,Data Transfer,"In AWS EC2, how do I transfer files to an S3 bucket?",Easy,"The most common method is using the AWS CLI. First, attach an IAM role with S3 permissions (e.g., AmazonS3FullAccess) to your EC2 instance. Once attached, use the 'aws s3 cp' or 'aws s3 sync' command from the terminal. For example, 'aws s3 cp /path/to/local/file s3://your-bucket-name/'. Alternatively, you can use the AWS SDKs in your preferred programming language or mount an S3 bucket using S3FS or Mountpoint for Amazon S3 if you need the bucket to appear as a local file system directory.",AWS
c64c82a2-15,c64c82a2,Completed,Quest Global,AWS,Load Balancing,Include private subnet in LB setup,Medium,"To include a private subnet in a load balancer setup, configure an Internal Load Balancer. While the load balancer itself resides in private subnets, it remains accessible only to resources within your VPC or connected networks. Ensure your VPC security groups allow ingress traffic from the load balancer to the private application instances. If the private subnets need internet access, route their traffic through a NAT Gateway. This architecture enhances security by isolating backend services from the public internet while allowing the load balancer to distribute traffic efficiently across private instances.",AWS
191c2185-24,191c2185,Completed,HiQode,AWS,VPC Networking,Is /12 a valid VPC CIDR block in AWS?,Easy,"Yes, /12 is a valid CIDR block for a VPC, supporting 1,048,576 addresses. However, it is rarely practical for production. AWS VPC CIDR ranges must be between /16 and /28. While you can associate additional CIDR blocks (up to 5 total) with a VPC, a single /12 block exceeds the architectural limits of a standard VPC. Practically, use smaller, specific subnets (e.g., /20s) to allow for future expansion, integration with transitive routing via Transit Gateway, and to avoid IP exhaustion or overlapping CIDRs in multi-account environments.",AWS
9f0d9b73-11,9f0d9b73,Completed,Harman Benz,AWS,Cloud Infrastructure & Services,What AWS services are you familiar with?,Easy,"I have extensive experience architecting and managing production environments using core AWS services. My daily workflow focuses on EKS for container orchestration, RDS for managed databases with Multi-AZ deployments, and S3 for scalable object storage with lifecycle policies. I rely on IAM for least-privilege access and CloudWatch for observability. For infrastructure as code, I prioritize Terraform to manage these services. I am also comfortable with Lambda for event-driven automation and Route53 for global traffic management, always ensuring cost optimization and high availability through well-architected framework principles.",AWS
191c2185-23,191c2185,Completed,HiQode,AWS,VPC Networking,What is the smallest VPC CIDR block allowed in AWS?,Easy,"The smallest CIDR block allowed for a VPC is /28, and the largest is /16. For production environments, /16 is standard to allow for sufficient subnetting across multiple Availability Zones. When planning CIDR allocation, prioritize non-overlapping ranges to avoid routing conflicts during future VPC peering or transit gateway integrations. Avoid 'IPv4 exhaustion' by reserving larger blocks upfront; resizing an existing VPC CIDR is impossible, though you can associate secondary CIDRs. Always align subnet planning with expected container density and scaling requirements to prevent IP address depletion in high-throughput workloads.",AWS
c64c82a2-16,c64c82a2,Completed,Quest Global,AWS,Infrastructure Architecture,What kind of AWS resources you used?,Easy,"When answering, categorize your experience by service type. Mention compute (EC2, Lambda), storage (S3, EBS), databases (RDS, DynamoDB), and networking (VPC, Route 53). Briefly explain the purpose of each, such as using S3 for object storage or Lambda for serverless compute. Tailor your answer to the specific project requirements, highlighting how these resources interacted to solve a business problem. For example, 'I used EC2 instances for application hosting, S3 for static assets, and RDS for the relational database, all secured within a private VPC.'",AWS
191c2185-6,191c2185,Completed,HiQode,AWS,VPC Networking,What route table is used for a Private Subnet?,Easy,"A private subnet uses a custom route table that lacks a route to an Internet Gateway (IGW). Traffic destined for the internet is routed via a NAT Gateway or NAT Instance in a public subnet to facilitate outbound-only communication. In production, best practice is to leverage Prefix Lists or VPC Endpoints for AWS service traffic to avoid NAT egress costs and latency. Ensure the route table is explicitly associated with the subnet to prevent accidental association with the main route table, which may contain public routes.",AWS
191c2185-9,191c2185,Completed,HiQode,AWS,VPC Networking,What route tables are required when using a NAT Gateway?,Medium,"You need a route table for the private subnets and a separate one for the public subnet where the NAT Gateway resides. The private subnet's route table must point 0.0.0.0/0 to the NAT Gateway ID. The public subnet's route table points 0.0.0.0/0 to the Internet Gateway. Ensure route propagation is disabled if using static routes to avoid conflicts. In production, place NAT Gateways in multiple AZs for high availability, mapping private subnets to their local AZ-specific NAT Gateway to minimize cross-AZ data transfer costs and potential latency.",AWS
d56e7fcc-32,d56e7fcc,Completed,Mphasis,AWS,Cloud Services Infrastructure,Which AWS services are you working on,Easy,"Mention specific services relevant to your experience, categorized by function. For example: 'I frequently use compute services like EC2 and Lambda, storage solutions such as S3 and EBS, and database services including RDS and DynamoDB. I also leverage networking components like VPC, Route 53, and IAM for security and access management.' Tailor this to your actual project history, focusing on services you understand deeply, such as those used for CI/CD, monitoring with CloudWatch, or infrastructure as code with CloudFormation.",AWS
191c2185-22,191c2185,Completed,HiQode,AWS,Network Addressing,Why do we create a VPC with a /16 CIDR block?,Medium,"A /16 VPC (65,536 addresses) is the standard best practice for production because it provides sufficient headroom for future subnet growth without necessitating VPC peering or complex routing. It allows you to carve out multiple /20 or /24 subnets across availability zones while maintaining a clean, hierarchical IP plan. From a practical standpoint, it avoids the 'IP exhaustion' trap common in smaller /24 or /22 setups, which often lead to painful, non-reversible VPC migrations. We use /16 to ensure long-term architectural stability and ease of integration with on-premises networks via Direct Connect.",AWS
191c2185-8,191c2185,Completed,HiQode,AWS,Network Architecture,Why is a NAT Gateway placed in a Public Subnet?,Medium,"A NAT Gateway must reside in a public subnet to have a route to an Internet Gateway (IGW). Traffic from private instances is routed to the NAT Gateway, which performs source NAT, replacing the private IP with its Elastic IP before forwarding the packet to the IGW. This enables egress-only internet access while maintaining security for private instances. Best practice dictates deploying NAT Gateways in multiple Availability Zones for high availability, utilizing dedicated subnets to isolate egress traffic and ensure predictable routing behavior independent of public-facing application workloads.",AWS
c64c82a2-20,c64c82a2,Completed,Quest Global,AWS,NAT Gateway,"You have NAT Gateway only, can you deploy Elastic IP?",Easy,"Yes. When you create a NAT Gateway in AWS, you are required to associate it with an Elastic IP address. The Elastic IP provides a static, public-facing IP address that allows instances in a private subnet to connect to the internet while preventing incoming traffic from initiating a connection. Without assigning an Elastic IP during the creation process, the NAT Gateway cannot be deployed.",AWS
52d71af1-41,52d71af1,Completed,Harman Benz,AWS,VPC CIDR Planning,How do you define size of VPC,Medium,"Define VPC size based on the maximum projected number of subnets and hosts needed for future growth, typically using a /16 to /20 range. Avoid 'right-sizing' too small, as CIDR blocks cannot be resized post-creation. I prefer a /16 for VPCs to allow flexibility for regional expansion and multi-AZ deployments. Crucially, ensure the VPC CIDR does not overlap with on-premises networks or peer VPCs to prevent routing conflicts. I implement IPAM (IP Address Management) to track allocations and avoid exhaustion, ensuring dedicated space for private subnets, NAT gateways, and service endpoints.",AWS
